,optimal solution,Christofides Heuristic,Sawp Heuristic,2-Opt Heuristic,Greedy
5 nodes,431.4810939702823,447.6794856815075,431.5786180360516,432.06246187269807,447.7099818913573
6 nodes,899.5247472864087,937.9947338748216,928.4983759707455,900.5374991036249,937.3716479009406
7 nodes,1399.5144979588345,1471.9512380251724,1496.256562805934,1402.2759718535485,1470.8991572284153
8 nodes,1926.9661927873956,2046.9318911445425,2144.127194683107,1932.8993153645642,2037.9033700974787
9 nodes,2483.1409316634486,2662.4589180963953,2883.8382729863683,2492.067790540538,2653.0817688920665
